Language	isRoot	objects	order	subjectLength	verbDependents	verbLength
Faroese_2.6	0.849019607759	0.170588235277	0.0	1.79999999982	3.74313725453	6.2882352935
Kazakh_2.6	0.121212121201	0.0909090908992	0.0	1.84848484834	3.75757575723	9.0151515143
Kurmanji_2.6	0.590780141786	0.265248226925	0.0	2.1219858154	4.37092198539	8.81914893531
Naija_2.6	0.496153846105	0.395512820475	0.0	2.53974358951	4.98653846107	10.4884615375
Thai_2.6	0.613803230485	0.461820851646	0.0	4.2580763579	3.81204111565	15.220631423
Uyghur_2.6	0.627365356563	0.211790392993	0.0	2.83296943205	3.58551673911	7.17721979555
Bambara_2.6	0.581666666612	0.265083333309	0.0	1.85083333317	3.84804166633	10.0314583325
Erzya_2.6	0.640035906581	0.129263913812	0.0	2.21184919189	3.93566726474	7.00718132791
Maltese_2.6	0.368556700997	0.227233676955	0.0	6.93814432931	3.41967353922	12.2091924388
Latvian_2.6	0.557802923098	0.26348420554	0.0	3.46963696339	4.10714285678	11.2837340867
Indonesian_2.6	0.658999192834	0.463680387365	0.0	4.47215496326	3.98184019333	14.4503631948
Urdu_2.6	0.423982720137	0.221084169433	0.0	4.46962095833	5.05748327712	14.2676978805
Portuguese_2.6	0.705970588168	0.40065032676	0.0	5.76022222169	4.12545098001	18.669163397
English_2.6	0.601582216987	0.373762376202	0.0141720054354	4.44787419877	4.09337992585	12.6624927187
Italian_2.6	0.624554061991	0.353195536361	0.0	6.93742919878	4.66599881604	18.1968720924
Russian_2.6	0.603230602847	0.236998063419	0.0	4.61654941632	3.99437487151	11.7130766488
Korean_2.6	0.401920391025	0.23128491618	0.258057584871	2.89782355654	3.01923882655	6.25448091194
Ancient_Greek_2.6	0.435135135094	0.396734234198	0.0	2.93759008983	4.37970720682	10.8259234225
Classical_Chinese_2.6	0.856617646974	0.471813725444	0.0	1.74264705865	2.72794117621	3.80147058787
Gothic_2.6	0.259358288744	0.30926916218	0.0	2.34670231706	3.08467023143	6.86809269096
Icelandic_2.6	0.68347050748	0.350137174179	0.0	3.38203017801	4.09156378563	12.5572702321
Latin_2.6	0.347366084607	0.341309065766	0.0	2.38154286256	3.10901154159	7.09472230378
Lithuanian_2.6	0.483111849346	0.233111849369	0.0	3.70570321118	3.99141749687	11.1256921363
Mbya_Guarani_2.6	0.605952380893	0.0988095237999	0.0	1.83214285697	4.23571428532	9.68333333243
Old_Church_Slavonic_2.6	0.330160744468	0.231281725866	0.0	1.98811336699	3.29936548192	6.26516497402
Old_French_2.6	0.496854182038	0.332963237076	0.16936308202	3.49599062389	3.05446582749	6.23149518815
Old_Russian_2.6	0.438005503666	0.275646087554	0.0	2.08092845158	3.43904642226	7.78968054486
Sanskrit_2.6	0.750404761831	0.334999999967	0.0	2.23797619026	2.84352380925	4.94554761858
Scottish_Gaelic_2.6	0.366595238063	0.0408333333301	0.0	3.68511904731	3.22885714258	13.6677857132
Welsh_2.6	0.766666666592	0.0588235294061	0.0	4.66862745053	3.4176470585	15.4137254887
Wolof_2.6	0.39470720717	0.444256756716	0.0	3.81925675641	4.08952702666	12.1756756746
Yoruba_2.6	0.285161290297	0.478064516088	0.0	2.40860215033	4.4619354835	16.4954838696
Irish_2.6	0.414488636326	0.200189393922	0.0	3.51183712091	3.7089962118	13.5938446959
