Inference for Stan model: anon_model_ba741c0e3f22eb47aba9e3d39727722f.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                             mean se_mean     sd    2.5%    25%    50%    75%  97.5%  n_eff   Rhat
Sigma_chol[1,2]               0.0     nan    0.0    -0.0   -0.0   -0.0   -0.0   -0.0    nan    nan
Sigma_chol[2,2]             -0.16    0.23    0.4   -0.89  -0.39   -0.2   0.01   0.69      3   1.66
B[1,1]                        0.8    0.02   0.67    0.09   0.34   0.62   1.05   2.59    924   1.01
B[2,1]                        0.0     nan    0.0     0.0    0.0   -0.0    0.0   -0.0    nan    nan
B[1,2]                        0.0     nan    0.0     0.0    0.0   -0.0    0.0   -0.0    nan    nan
B[2,2]                       0.87    0.02   0.75    0.08   0.34   0.66   1.18   2.97   1021   1.01
Sigma[1,1]                   1.45    0.04   1.16    0.15   0.62   1.15   1.94   4.46    938    1.0
Sigma[2,1]                   0.95    0.02    0.7     0.1   0.43   0.79   1.28   2.78   1009   1.01
Sigma[1,2]                   0.95    0.02    0.7     0.1   0.43   0.79   1.28   2.78   1009   1.01
Sigma[2,2]                   0.91    0.02   0.78    0.08   0.36    0.7   1.19   2.98   1066    1.0
factor[1,1]                  1.61    0.04   1.34    0.17   0.69   1.25   2.11   5.18    924   1.01
factor[2,1]                   0.0     nan    0.0     0.0    0.0   -0.0    0.0   -0.0    nan    nan
factor[3,1]                   0.0     nan    0.0     0.0    0.0    0.0    0.0    0.0    nan    nan
factor[1,2]                   0.0     nan    0.0     0.0    0.0   -0.0    0.0   -0.0    nan    nan
factor[2,2]                  1.68    0.04   1.25    0.21   0.77   1.34   2.26   4.87    816   1.01
factor[3,2]                   0.0     nan    0.0     0.0    0.0   -0.0    0.0   -0.0    nan    nan
factor[1,3]                   0.0     nan    0.0     0.0    0.0    0.0    0.0    0.0    nan    nan
factor[2,3]                   0.0     nan    0.0     0.0    0.0   -0.0    0.0   -0.0    nan    nan
factor[3,3]                  1.74    0.05    1.5    0.17   0.68   1.31   2.36   5.93   1021   1.01
instant_cov_components[1]    1.45    0.04   1.16    0.15   0.62   1.15   1.94   4.46    938    1.0
instant_cov_components[2]    0.95    0.02    0.7     0.1   0.43   0.79   1.28   2.78   1009   1.01
instant_cov_components[3]    0.91    0.02   0.78    0.08   0.36    0.7   1.19   2.98   1066    1.0
Omega_components[1]          1.02    0.01   0.52    0.35   0.67   0.91   1.24   2.31   1253    1.0
Omega_components[2]          0.63  7.6e-3   0.31    0.22   0.42   0.56   0.76   1.41   1628    1.0
Omega_components[3]          0.57  5.1e-3   0.25    0.26    0.4   0.51   0.67   1.22   2398    1.0
Omega[1,1]                   1.02    0.01   0.52    0.35   0.67   0.91   1.24   2.31   1253    1.0
Omega[2,1]                   0.63  7.6e-3   0.31    0.22   0.42   0.56   0.76   1.41   1628    1.0
Omega[1,2]                   0.63  7.6e-3   0.31    0.22   0.42   0.56   0.76   1.41   1628    1.0
Omega[2,2]                   0.57  5.1e-3   0.25    0.26    0.4   0.51   0.67   1.22   2398    1.0
lp__                       -90.67    0.28   6.01  -102.9 -94.42 -90.61 -86.66 -79.24    471    1.0

Samples were drawn using NUTS at Fri Apr  9 06:25:40 2021.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
