"Language" "Family" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "Model" "Congruence_All" "Congruence_VN" "Congruence_VP" "Congruence_V" "Congruence_VProp"
"29" "German_2.8" "Germanic" 1 15 0.0666666666666667 0.333333333333333 79616265 0.565903420835 0.556170801101 0.581203791054 0.557684332315 0.524957789739
"30" "Gothic_2.8" "Germanic" 7 15 0.466666666666667 0.133333333333333 712245701 0.459232965585 0.491991618649 0.417821613434 0.459160581801 0.509706240828
"31" "Greek_2.8" "Greek" 5 15 0.333333333333333 0.6 592399301 0.342487113894 0.300390568067 0.854352011351 0.316143965024 0.272360872552
"32" "Hebrew_2.8" "Semitic" 7 15 0.466666666666667 0.8 768286386 0.3010906285 0.412333543373 0.079988303755 0.347378250099 0.359953456178
"33" "Hindi_2.8" "Indic" 3 15 0.2 1 486919458 0.757779052566 0.953766806783 0.982975662265 0.76149941611 0.983678529104
"34" "Hungarian_2.8" "Ugric" 4 15 0.266666666666667 0.133333333333333 65887060 0.533789835137 0.493459049193 0.733747738011 0.511328486948 0.43661943786
"35" "Icelandic_2.8" "Germanic" 4 15 0.266666666666667 0.733333333333333 291959208 0.361656692871 0.369866994504 0.41074633404 0.372140925471 0.352314497004
"36" "Indonesian_2.8" "Malayo-Sumbawan" 0 15 0 0.133333333333333 572735524 0.0880379680751 0.0707065712195 0.538869286722 0.086770779155 0.0524080150652
"37" "Irish_2.8" "Celtic" 11 15 0.733333333333333 0.8 771001378 0.556083756191 0.992055324291 0.943422638303 0.762703997354 0.996247655488
"38" "Italian_2.8" "Latin_Romance" 4 15 0.266666666666667 0.6 793083349 0.284870933724 0.26237395069 0.613071160177 0.27316164867 0.240736892335
"39" "Japanese_2.8" "Japanese" 13 15 0.866666666666667 0.466666666666667 174546322 0.999706867079 0.999708247237 0.999999852877 0.999692530785 0.999349208344
"40" "Kazakh_2.8" "Turkic" 3 15 0.2 0.266666666666667 112077683 0.989447119612 0.993603411514 0.993375124282 0.987671041633 0.946229166934
"41" "Kiche_2.8" "Mayan" 13 15 0.866666666666667 0.0666666666666667 985390497 0.633677632387 0.625 0.640864540077 0.559479948401 0.326531986669
"42" "Komi_Zyrian_2.8" "Permic" 5 15 0.333333333333333 0.466666666666667 405110495 0.485152303689 0.466834585089 0.656922207349 0.482907854308 0.333338888843
"43" "Korean_2.8" "Korean" 15 15 1 0.333333333333333 314184008 0.990605914869 0.999842792014 0.999999760367 0.999750128401 0.999999663735
"44" "Kurmanji_2.8" "Iranian" 8 15 0.533333333333333 0.6 936794070 0.947093950521 0.943446365217 0.966099611429 0.94791018533 0.988209720393
"45" "Latin_2.8" "Latin_Romance" 9 15 0.6 0.666666666666667 957464114 0.545646492509 0.516776540958 0.659390569726 0.555167690045 0.495392485158
"46" "Latvian_2.8" "Baltic" 4 15 0.266666666666667 0.8 226753318 0.403611546261 0.422810242069 0.786442702459 0.402857652155 0.429638495321
"47" "Lithuanian_2.8" "Baltic" 1 15 0.0666666666666667 0.733333333333333 767426392 0.393711849508 0.378904519631 0.719334322648 0.382353985808 0.487545884037
"48" "Maltese_2.8" "Semitic" 3 15 0.2 0.466666666666667 966814606 0.273242412674 0.331555562998 0.364590746922 0.301359267834 0.255660768871
"49" "Manx_2.8" "Celtic" 3 15 0.2 1 919087240 0.967093790616 0.996460176991 0.992918289775 0.995423314923 1
"50" "Mbya_Guarani_2.8" "Tupian" 13 15 0.866666666666667 1 871748839 0.521121480063 0.492866611433 0.872529761796 0.521130131602 0.630751337921
"51" "Naija_2.8" "Creole_Naija" 2 16 0.125 0.8125 244411048 0.0193517476982 0.0668281913338 0.00839242115711 0.019147399787 0.0100218097828
"52" "North_Sami_2.8" "Sami" 3 15 0.2 0.4 134016999 0.311893243962 0.393443742197 0.47510756862 0.32250211294 0.246745931277
"53" "Norwegian_2.8" "Germanic" 1 15 0.0666666666666667 0.6 905329798 0.215860612479 0.246255888602 0.321924857969 0.246003220371 0.331351942868
"54" "Old_Church_Slavonic_2.8" "Slavic" 7 15 0.466666666666667 0.133333333333333 548132695 0.447574843416 0.501367845904 0.384184658831 0.448450342839 0.525586879614
"55" "Old_East_Slavic_2.8" "Slavic" 9 15 0.6 0.6 671555770 0.478951853043 0.495885032721 0.401728886795 0.474579692985 0.492956627075
"56" "Old_French_2.8" "Latin_Romance" 9 15 0.6 0.8 643055153 0.559562266001 0.450122061015 0.807337837539 0.558724227433 0.447745488594
"57" "Persian_2.8" "Iranian" 8 15 0.533333333333333 0.866666666666667 915207869 0.98728789731 0.993676173183 0.986720801427 0.992937775789 0.993630387248
"58" "Polish_2.8" "Slavic" 8 15 0.533333333333333 0.533333333333333 686920330 0.356891392133 0.356080621204 0.494269144955 0.36899358155 0.321829889533
"59" "Portuguese_2.8" "Latin_Romance" 0 16 0 0.1875 153003277 0.170735418941 0.134302772577 0.645735636525 0.16770852589 0.12261529089
"60" "Romanian_2.8" "Latin_Romance" 8 15 0.533333333333333 0.733333333333333 167519868 0.44408485026 0.405426996367 0.733779280941 0.449281424074 0.461439953443
"61" "Russian_2.8" "Slavic" 6 15 0.4 0.466666666666667 232844791 0.358531411154 0.382358245273 0.590522596463 0.356730724897 0.345142802704
"62" "Sanskrit_2.8" "Indic" 4 15 0.266666666666667 0.4 690939483 0.68790331311 0.690430063713 0.826147908646 0.745223569722 0.999961112623
"63" "Scottish_Gaelic_2.8" "Celtic" 9 15 0.6 0.733333333333333 642735083 0.616900381975 0.997600951625 0.89671043565 0.964037664866 1
"64" "Serbian_2.8" "Slavic" 1 15 0.0666666666666667 0.466666666666667 437604901 0.294830160241 0.276293240668 0.62470197945 0.302488546576 0.303621892508
"65" "Slovak_2.8" "Slavic" 3 15 0.2 0.6 509538063 0.427607135613 0.434846325838 0.613505940926 0.435008274027 0.439175612848
"66" "Slovenian_2.8" "Slavic" 7 15 0.466666666666667 0.733333333333333 596117111 0.459024595246 0.412821323359 0.777191429936 0.463298085973 0.453633080408
"67" "Spanish_2.8" "Latin_Romance" 1 15 0.0666666666666667 0.6 487657794 0.25728917462 0.254349954517 0.71093015305 0.273412200222 0.190141303359
"68" "Swedish_2.8" "Germanic" 2 15 0.133333333333333 0.666666666666667 875789096 0.208796124892 0.233930447362 0.273132117279 0.225100686022 0.272075090828
"69" "Thai_2.8" "Tai-Kadai" 1 15 0.0666666666666667 0.533333333333333 513320619 0.0812337589743 0.0322673594004 0.0270274166057 0.0804482030352 0.0135139542013
"70" "Turkish_2.8" "Turkic" 4 15 0.266666666666667 0.8 363608074 0.945849853126 0.949705317215 0.872280477368 0.941184843936 0.930351600224
"71" "Ukrainian_2.8" "Slavic" 7 15 0.466666666666667 0.666666666666667 65350125 0.367197628346 0.391461351571 0.535542446582 0.367765356461 0.353371277899
"72" "Upper_Sorbian_2.8" "Slavic" 2 15 0.133333333333333 0.6 668601236 0.431844941581 0.427780414491 0.720775544667 0.439963188289 0.418181231425
"73" "Urdu_2.8" "Indic" 0 15 0 1 248185391 0.74160426684 0.967718899683 0.94832831239 0.747261741119 0.982767371051
"74" "Uyghur_2.8" "Turkic" 2 15 0.133333333333333 0.733333333333333 845700556 0.962519032109 0.953549308061 0.979247190066 0.959271578479 0.9999400036
"75" "Vietnamese_2.8" "Viet-Muong" 0 15 0 0.8 159094514 0.0566280967462 0.0479753774195 1 0.0510547722084 0.104511038348
"76" "Welsh_2.8" "Celtic" 3 15 0.2 0.333333333333333 605988454 0.611736392689 0.982205147701 0.221096199815 0.756634480938 1
"77" "Western_Armenian_2.8" "Armenian" 7 15 0.466666666666667 0.933333333333333 244438848 0.627147885189 0.637901875189 0.604737696552 0.63151885486 0.435424765931
"78" "Wolof_2.8" "Northern_Atlantic" 4 15 0.266666666666667 0.533333333333333 450636309 0.297756877507 0.0265303047912 0.591907557873 0.298230963107 0.0323964822617
