"Language" "FileName" "CoarseDependency.x" "DH_Weight.x" "DistanceWeight.x" "Language_.x" "CoarseDependency.y" "DH_Weight.y" "DistanceWeight.y" "Language_.y" "OFartherThanS" "OSSameSide" "Order" "Family"
"11" "Afrikaans_2.6" 8385177 "obj" 5.315 -0.19363 "Afrikaans" "nsubj" -4.48724 0.73851 "Afrikaans" FALSE FALSE "SVO" "Germanic"
"12" "Afrikaans_2.6" 8994988 "obj" 5.8429 0.78177 "Afrikaans" "nsubj" -3.43961 0.63619 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"13" "Afrikaans_2.6" 9408497 "obj" -0.86069 0.93407 "Afrikaans" "nsubj" 0.03757 0.00294 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"14" "Afrikaans_2.6" 9556349 "obj" 5.33287 0.70187 "Afrikaans" "nsubj" -4.05257 0.5402 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"15" "Afrikaans_2.6" 9815700 "obj" -0.7462 0.73256 "Afrikaans" "nsubj" 0.08019 -0.21065 "Afrikaans" TRUE FALSE "SVO" "Germanic"
"16" "Amharic_2.6" 1467304 "obj" -0.08881 1.62138 "Amharic" "nsubj" -0.18637 0.4354 "Amharic" TRUE TRUE "VSO" "Semitic"
"17" "Amharic_2.6" 3429701 "obj" 5.2998 1.78809 "Amharic" "nsubj" 4.96525 0.21633 "Amharic" TRUE TRUE "VSO" "Semitic"
"18" "Amharic_2.6" 3862758 "obj" -5.9655 1.63907 "Amharic" "nsubj" -4.48009 0.25665 "Amharic" TRUE TRUE "VSO" "Semitic"
"19" "Amharic_2.6" 6149707 "obj" -0.80027 1.67784 "Amharic" "nsubj" 0.43224 0.57955 "Amharic" TRUE FALSE "SVO" "Semitic"
"20" "Amharic_2.6" 6263062 "obj" -0.86036 1.44247 "Amharic" "nsubj" 0.53235 0.34536 "Amharic" TRUE FALSE "SVO" "Semitic"
"21" "Amharic_2.6" 6609902 "obj" 4.43965 0.96152 "Amharic" "nsubj" -5.21345 1.00554 "Amharic" FALSE FALSE "SVO" "Semitic"
"22" "Amharic_2.6" 6804713 "obj" -4.57841 0.64511 "Amharic" "nsubj" 5.00486 0.98241 "Amharic" FALSE FALSE "SVO" "Semitic"
"23" "Amharic_2.6" 6867485 "obj" -1.02652 1.69369 "Amharic" "nsubj" -0.04124 0.56597 "Amharic" TRUE TRUE "VSO" "Semitic"
"24" "Amharic_2.6" 7365500 "obj" 5.25629 1.13415 "Amharic" "nsubj" -2.77084 1.17558 "Amharic" FALSE FALSE "SVO" "Semitic"
"25" "Amharic_2.6" 7648212 "obj" -4.15998 2.75002 "Amharic" "nsubj" -4.54154 1.41127 "Amharic" TRUE TRUE "VSO" "Semitic"
"26" "Amharic_2.6" 8171894 "obj" 5.49518 1.31869 "Amharic" "nsubj" -2.78604 0.63404 "Amharic" TRUE FALSE "SVO" "Semitic"
"27" "Amharic_2.6" 8421281 "obj" -0.09826 1.28558 "Amharic" "nsubj" -0.41572 0.42114 "Amharic" TRUE TRUE "VSO" "Semitic"
"28" "Amharic_2.6" 8591786 "obj" -5.7001 1.37207 "Amharic" "nsubj" -4.80575 0.94492 "Amharic" TRUE TRUE "VSO" "Semitic"
"29" "Amharic_2.6" 9208284 "obj" 1.22546 1.39065 "Amharic" "nsubj" -0.6235 0.4958 "Amharic" TRUE FALSE "SVO" "Semitic"
"30" "Amharic_2.6" 9408268 "obj" -4.82541 2.23443 "Amharic" "nsubj" -5.30192 0.46623 "Amharic" TRUE TRUE "VSO" "Semitic"
"31" "Ancient_Greek_2.6" 2242152 "obj" -4.361 2.71296 "Ancient_Greek" "nsubj" -4.54415 0.71129 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"32" "Ancient_Greek_2.6" 2764062 "obj" -4.57317 1.54784 "Ancient_Greek" "nsubj" -4.06691 0.46713 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"33" "Ancient_Greek_2.6" 2793542 "obj" 4.30683 1.44811 "Ancient_Greek" "nsubj" 3.77804 1.33425 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"34" "Ancient_Greek_2.6" 2859182 "obj" -0.33552 0.75051 "Ancient_Greek" "nsubj" 0.43971 0.68444 "Ancient_Greek" TRUE FALSE "SVO" "Greek"
"35" "Ancient_Greek_2.6" 4001979 "obj" -0.27316 0.84608 "Ancient_Greek" "nsubj" -0.0341 0.68123 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"36" "Ancient_Greek_2.6" 5469953 "obj" 3.88848 1.9025 "Ancient_Greek" "nsubj" -3.59454 2.34541 "Ancient_Greek" FALSE FALSE "SVO" "Greek"
"37" "Ancient_Greek_2.6" 6100574 "obj" 0.26758 0.62814 "Ancient_Greek" "nsubj" 0.21441 0.54524 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"38" "Ancient_Greek_2.6" 7149759 "obj" 4.50978 3.18395 "Ancient_Greek" "nsubj" 4.64244 1.13444 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"39" "Ancient_Greek_2.6" 8113654 "obj" 2.95643 2.36766 "Ancient_Greek" "nsubj" 4.36523 1.65656 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"40" "Ancient_Greek_2.6" 8236273 "obj" 0.05135 0.91933 "Ancient_Greek" "nsubj" -0.19613 0.34348 "Ancient_Greek" TRUE FALSE "SVO" "Greek"
"41" "Ancient_Greek_2.6" 8415667 "obj" 4.83284 0.6193 "Ancient_Greek" "nsubj" 4.01527 0.90917 "Ancient_Greek" FALSE TRUE "SOV" "Greek"
"42" "Ancient_Greek_2.6" 8643874 "obj" -5.04705 1.02156 "Ancient_Greek" "nsubj" 0.16794 -0.21853 "Ancient_Greek" TRUE FALSE "SVO" "Greek"
"43" "Ancient_Greek_2.6" 888883 "obj" -0.41844 0.77235 "Ancient_Greek" "nsubj" 0.22868 0.44825 "Ancient_Greek" TRUE FALSE "SVO" "Greek"
"44" "Ancient_Greek_2.6" 9021183 "obj" 4.59332 2.04386 "Ancient_Greek" "nsubj" 4.74641 0.28327 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"45" "Ancient_Greek_2.6" 9838245 "obj" -4.99916 1.53888 "Ancient_Greek" "nsubj" -3.38755 0.23036 "Ancient_Greek" TRUE TRUE "VSO" "Greek"
"46" "Arabic_2.6" 1102407 "obj" -0.52472 1.12415 "Arabic" "nsubj" 0.10679 -0.99215 "Arabic" TRUE FALSE "SVO" "Semitic"
"47" "Arabic_2.6" 1521866 "obj" 5.35844 0.93996 "Arabic" "nsubj" 3.01251 -4.26086 "Arabic" TRUE TRUE "VSO" "Semitic"
"48" "Arabic_2.6" 2621557 "obj" -5.15864 1.28762 "Arabic" "nsubj" 3.41333 -0.71202 "Arabic" TRUE FALSE "SVO" "Semitic"
"49" "Arabic_2.6" 2661879 "obj" -5.56075 1.08899 "Arabic" "nsubj" 4.40669 -1.22616 "Arabic" TRUE FALSE "SVO" "Semitic"
"50" "Arabic_2.6" 274238 "obj" 5.6069 1.00704 "Arabic" "nsubj" -2.21293 -0.90776 "Arabic" TRUE FALSE "SVO" "Semitic"
"51" "Arabic_2.6" 2840603 "obj" 0.22027 0.96034 "Arabic" "nsubj" 0.13901 -1.11255 "Arabic" TRUE TRUE "VSO" "Semitic"
"52" "Arabic_2.6" 3530275 "obj" 5.54444 0.61964 "Arabic" "nsubj" 4.16757 -2.69952 "Arabic" TRUE TRUE "VSO" "Semitic"
"53" "Arabic_2.6" 4419705 "obj" 5.33605 0.38917 "Arabic" "nsubj" 4.31951 -3.70677 "Arabic" TRUE TRUE "VSO" "Semitic"
"54" "Arabic_2.6" 4461698 "obj" -5.68054 1.10215 "Arabic" "nsubj" 1.44276 -2.38854 "Arabic" TRUE FALSE "SVO" "Semitic"
"55" "Arabic_2.6" 5350475 "obj" 0.56349 0.95582 "Arabic" "nsubj" 0.13192 -1.00558 "Arabic" TRUE TRUE "VSO" "Semitic"
"56" "Arabic_2.6" 6412081 "obj" 4.46664 0.12087 "Arabic" "nsubj" -4.92554 -1.41944 "Arabic" TRUE FALSE "SVO" "Semitic"
"57" "Arabic_2.6" 6744847 "obj" -5.71866 1.02932 "Arabic" "nsubj" 3.67271 -0.96001 "Arabic" TRUE FALSE "SVO" "Semitic"
"58" "Arabic_2.6" 7261343 "obj" -0.71116 1.0101 "Arabic" "nsubj" 0.44225 -0.91506 "Arabic" TRUE FALSE "SVO" "Semitic"
"59" "Arabic_2.6" 857214 "obj" 5.81146 -0.59844 "Arabic" "nsubj" -4.65454 -1.53358 "Arabic" TRUE FALSE "SVO" "Semitic"
"60" "Arabic_2.6" 8708184 "obj" -5.57284 1.27273 "Arabic" "nsubj" -3.58401 -1.52278 "Arabic" TRUE TRUE "VSO" "Semitic"
"61" "Armenian_2.6" 114286 "obj" -4.91942 0.53966 "Armenian" "nsubj" 4.70191 0.09707 "Armenian" TRUE FALSE "SVO" "Armenian"
"62" "Armenian_2.6" 1256076 "obj" -0.23436 0.9338 "Armenian" "nsubj" 3.08866 0.06304 "Armenian" TRUE FALSE "SVO" "Armenian"
"63" "Armenian_2.6" 1365558 "obj" -4.39695 1.67549 "Armenian" "nsubj" 4.42447 -0.4218 "Armenian" TRUE FALSE "SVO" "Armenian"
"64" "Armenian_2.6" 2244041 "obj" 4.20622 1.56702 "Armenian" "nsubj" 3.9821 -1.351 "Armenian" TRUE TRUE "VSO" "Armenian"
"65" "Armenian_2.6" 3032840 "obj" -5.0272 1.53671 "Armenian" "nsubj" 1.07142 0.31063 "Armenian" TRUE FALSE "SVO" "Armenian"
"66" "Armenian_2.6" 4015204 "obj" -4.47366 1.52106 "Armenian" "nsubj" -3.70427 -0.98723 "Armenian" TRUE TRUE "VSO" "Armenian"
"67" "Armenian_2.6" 4472753 "obj" -4.31044 2.09936 "Armenian" "nsubj" 4.38119 -0.74496 "Armenian" TRUE FALSE "SVO" "Armenian"
"68" "Armenian_2.6" 4719778 "obj" -4.25325 1.16728 "Armenian" "nsubj" 3.59707 0.20221 "Armenian" TRUE FALSE "SVO" "Armenian"
"69" "Armenian_2.6" 4911625 "obj" 4.66422 0.41067 "Armenian" "nsubj" -3.83569 0.33622 "Armenian" TRUE FALSE "SVO" "Armenian"
"70" "Armenian_2.6" 4968845 "obj" -0.65982 0.29205 "Armenian" "nsubj" -0.19649 -0.36666 "Armenian" TRUE TRUE "VSO" "Armenian"
"71" "Armenian_2.6" 5838931 "obj" 0.02237 0.64083 "Armenian" "nsubj" 0.19946 -0.27037 "Armenian" TRUE TRUE "VSO" "Armenian"
"72" "Armenian_2.6" 610531 "obj" 4.92518 2.42316 "Armenian" "nsubj" 3.51947 -1.2479 "Armenian" TRUE TRUE "VSO" "Armenian"
"73" "Armenian_2.6" 6264305 "obj" 4.51787 1.80044 "Armenian" "nsubj" -4.09775 0.56993 "Armenian" TRUE FALSE "SVO" "Armenian"
"74" "Armenian_2.6" 9112035 "obj" -0.06072 0.64222 "Armenian" "nsubj" -0.47364 -0.24092 "Armenian" TRUE TRUE "VSO" "Armenian"
"75" "Armenian_2.6" 9538820 "obj" -4.30912 1.17204 "Armenian" "nsubj" -2.39201 -0.13057 "Armenian" TRUE TRUE "VSO" "Armenian"
"76" "Bambara_2.6" 1313285 "obj" 5.34821 -1.19675 "Bambara" "nsubj" 3.35843 -1.0527 "Bambara" FALSE TRUE "SOV" "Mande"
"77" "Bambara_2.6" 2373110 "obj" -5.01138 -0.05085 "Bambara" "nsubj" -5.56789 1.87788 "Bambara" FALSE TRUE "SOV" "Mande"
"78" "Bambara_2.6" 2472726 "obj" 0.13082 0.11122 "Bambara" "nsubj" 1.08156 -0.75105 "Bambara" TRUE TRUE "VSO" "Mande"
"79" "Bambara_2.6" 2885110 "obj" 0.79112 -0.08157 "Bambara" "nsubj" -0.12124 -0.48694 "Bambara" TRUE FALSE "SVO" "Mande"
"80" "Bambara_2.6" 3260127 "obj" -0.45009 0.33327 "Bambara" "nsubj" -5.14708 -1.41359 "Bambara" TRUE TRUE "VSO" "Mande"
"81" "Bambara_2.6" 3688699 "obj" 5.50463 -0.75726 "Bambara" "nsubj" 4.80009 0.25457 "Bambara" FALSE TRUE "SOV" "Mande"
"82" "Bambara_2.6" 518899 "obj" 4.97923 0.9096 "Bambara" "nsubj" 5.47839 1.2037 "Bambara" FALSE TRUE "SOV" "Mande"
"83" "Bambara_2.6" 5316232 "obj" -4.39335 -0.80604 "Bambara" "nsubj" 5.57145 0.37313 "Bambara" FALSE FALSE "SVO" "Mande"
"84" "Bambara_2.6" 554419 "obj" 4.50732 -0.16199 "Bambara" "nsubj" 5.43269 1.99657 "Bambara" FALSE TRUE "SOV" "Mande"
"85" "Bambara_2.6" 6043019 "obj" -4.71852 0.88581 "Bambara" "nsubj" 4.07621 -0.48645 "Bambara" TRUE FALSE "SVO" "Mande"
"86" "Bambara_2.6" 6373268 "obj" 4.24398 0.89493 "Bambara" "nsubj" -4.77989 0.25476 "Bambara" TRUE FALSE "SVO" "Mande"
"87" "Bambara_2.6" 7119352 "obj" -5.11642 -2.04609 "Bambara" "nsubj" -3.6424 0.09833 "Bambara" FALSE TRUE "SOV" "Mande"
"88" "Bambara_2.6" 7686930 "obj" 5.03188 0.54758 "Bambara" "nsubj" 4.88797 1.89469 "Bambara" FALSE TRUE "SOV" "Mande"
"89" "Bambara_2.6" 9851455 "obj" 4.88217 0.23399 "Bambara" "nsubj" 5.45407 1.84587 "Bambara" FALSE TRUE "SOV" "Mande"
"90" "Bambara_2.6" 9858316 "obj" -5.11012 -0.31662 "Bambara" "nsubj" -5.57433 1.2111 "Bambara" FALSE TRUE "SOV" "Mande"
"91" "Basque_2.6" 1511511 "obj" 5.22493 1.72725 "Basque" "nsubj" -2.29694 0.6696 "Basque" TRUE FALSE "SVO" "Basque"
"92" "Basque_2.6" 2235738 "obj" 0.60015 0.63257 "Basque" "nsubj" -0.52499 0.55931 "Basque" TRUE FALSE "SVO" "Basque"
"93" "Basque_2.6" 2459245 "obj" 0.48343 0.66101 "Basque" "nsubj" 0.0313 0.36971 "Basque" TRUE TRUE "VSO" "Basque"
"94" "Basque_2.6" 2523916 "obj" -0.03154 0.42998 "Basque" "nsubj" -0.78418 0.37487 "Basque" TRUE TRUE "VSO" "Basque"
"95" "Basque_2.6" 2791024 "obj" 0.6718 0.72284 "Basque" "nsubj" 0.1098 0.2705 "Basque" TRUE TRUE "VSO" "Basque"
"96" "Basque_2.6" 3509545 "obj" 0.69324 0.80198 "Basque" "nsubj" -0.20118 0.25753 "Basque" TRUE FALSE "SVO" "Basque"
"97" "Basque_2.6" 3550349 "obj" 5.25161 2.23067 "Basque" "nsubj" 4.81206 -0.65702 "Basque" TRUE TRUE "VSO" "Basque"
"98" "Basque_2.6" 4229398 "obj" -5.37052 1.37797 "Basque" "nsubj" 4.84194 1.96107 "Basque" FALSE FALSE "SVO" "Basque"
"99" "Basque_2.6" 4789803 "obj" -0.84162 0.65374 "Basque" "nsubj" 0.11092 0.13925 "Basque" TRUE FALSE "SVO" "Basque"
"100" "Basque_2.6" 4802396 "obj" 4.85875 -0.06674 "Basque" "nsubj" 5.02134 0.59916 "Basque" FALSE TRUE "SOV" "Basque"
"101" "Basque_2.6" 6625347 "obj" -5.61005 1.96279 "Basque" "nsubj" -3.91775 0.86122 "Basque" TRUE TRUE "VSO" "Basque"
"102" "Basque_2.6" 7516324 "obj" -0.51579 0.73411 "Basque" "nsubj" -0.35292 0.22295 "Basque" TRUE TRUE "VSO" "Basque"
"103" "Basque_2.6" 8398371 "obj" 5.32409 1.6096 "Basque" "nsubj" -4.27515 1.54556 "Basque" TRUE FALSE "SVO" "Basque"
"104" "Basque_2.6" 9354034 "obj" 4.35602 1.27374 "Basque" "nsubj" -4.72614 1.3248 "Basque" FALSE FALSE "SVO" "Basque"
"105" "Basque_2.6" 9752842 "obj" 5.39458 1.5396 "Basque" "nsubj" -4.1773 1.27549 "Basque" TRUE FALSE "SVO" "Basque"
"106" "Belarusian_2.6" 1472601 "obj" -5.84137 2.97962 "Belarusian" "nsubj" -5.06844 0.47015 "Belarusian" TRUE TRUE "VSO" "Slavic"
"107" "Belarusian_2.6" 223566 "obj" 1.59439 1.26149 "Belarusian" "nsubj" 0.37345 0.12203 "Belarusian" TRUE TRUE "VSO" "Slavic"
"108" "Belarusian_2.6" 3226808 "obj" 5.06355 0.63106 "Belarusian" "nsubj" -4.28502 1.03978 "Belarusian" FALSE FALSE "SVO" "Slavic"
"109" "Belarusian_2.6" 3574017 "obj" 1.69297 1.25221 "Belarusian" "nsubj" 0.08197 0.13715 "Belarusian" TRUE TRUE "VSO" "Slavic"
"110" "Belarusian_2.6" 4038190 "obj" 5.66152 2.94651 "Belarusian" "nsubj" 5.44822 0.1336 "Belarusian" TRUE TRUE "VSO" "Slavic"
"111" "Belarusian_2.6" 4195821 "obj" -6.08932 3.42879 "Belarusian" "nsubj" -5.54 0.04311 "Belarusian" TRUE TRUE "VSO" "Slavic"
"112" "Belarusian_2.6" 4706572 "obj" -1.60988 1.39845 "Belarusian" "nsubj" -0.87231 -0.10595 "Belarusian" TRUE TRUE "VSO" "Slavic"
"113" "Belarusian_2.6" 5202799 "obj" 5.93921 3.60856 "Belarusian" "nsubj" 5.18598 -0.35282 "Belarusian" TRUE TRUE "VSO" "Slavic"
"114" "Belarusian_2.6" 632858 "obj" -5.37497 0.86816 "Belarusian" "nsubj" 4.95858 1.17864 "Belarusian" FALSE FALSE "SVO" "Slavic"
"115" "Belarusian_2.6" 6629748 "obj" -4.93204 1.35758 "Belarusian" "nsubj" -3.27544 -1.21013 "Belarusian" TRUE TRUE "VSO" "Slavic"
"116" "Belarusian_2.6" 7041189 "obj" -1.95582 1.24508 "Belarusian" "nsubj" 0.32975 -0.047 "Belarusian" TRUE FALSE "SVO" "Slavic"
"117" "Belarusian_2.6" 7179153 "obj" -5.58223 0.40714 "Belarusian" "nsubj" 4.83397 0.74912 "Belarusian" FALSE FALSE "SVO" "Slavic"
"118" "Belarusian_2.6" 7837560 "obj" 1.59375 1.40079 "Belarusian" "nsubj" 0.03622 0.13104 "Belarusian" TRUE TRUE "VSO" "Slavic"
"119" "Belarusian_2.6" 8429724 "obj" -1.33224 1.13663 "Belarusian" "nsubj" 0.08925 -0.1794 "Belarusian" TRUE FALSE "SVO" "Slavic"
"120" "Belarusian_2.6" 9828137 "obj" 5.81976 3.24888 "Belarusian" "nsubj" 5.35636 0.94772 "Belarusian" TRUE TRUE "VSO" "Slavic"
"121" "Breton_2.6" 1237292 "obj" -5.26284 2.11837 "Breton" "nsubj" -4.51805 -0.79312 "Breton" TRUE TRUE "VSO" "Celtic"
"122" "Breton_2.6" 1871631 "obj" 5.42141 1.87249 "Breton" "nsubj" 5.29542 0.02931 "Breton" TRUE TRUE "VSO" "Celtic"
"123" "Breton_2.6" 1996517 "obj" 5.05376 1.63177 "Breton" "nsubj" 5.05509 0.68467 "Breton" TRUE TRUE "VSO" "Celtic"
"124" "Breton_2.6" 3097440 "obj" -5.45565 2.07469 "Breton" "nsubj" -5.21781 -0.7596 "Breton" TRUE TRUE "VSO" "Celtic"
"125" "Breton_2.6" 364946 "obj" 5.07026 2.29988 "Breton" "nsubj" 5.02148 -0.20254 "Breton" TRUE TRUE "VSO" "Celtic"
"126" "Breton_2.6" 4053279 "obj" 0.14045 0.90177 "Breton" "nsubj" -0.45577 0.89365 "Breton" TRUE FALSE "SVO" "Celtic"
"127" "Breton_2.6" 6524314 "obj" -0.35912 1.03156 "Breton" "nsubj" -0.37732 1.09758 "Breton" FALSE TRUE "SOV" "Celtic"
"128" "Breton_2.6" 6615117 "obj" 4.98403 1.60945 "Breton" "nsubj" 5.11126 -0.72498 "Breton" TRUE TRUE "VSO" "Celtic"
"129" "Breton_2.6" 7114334 "obj" 0.04138 0.9842 "Breton" "nsubj" 0.34882 0.81916 "Breton" TRUE TRUE "VSO" "Celtic"
"130" "Breton_2.6" 7849540 "obj" -0.08399 0.9001 "Breton" "nsubj" -0.02013 0.80867 "Breton" TRUE TRUE "VSO" "Celtic"
"131" "Breton_2.6" 8113249 "obj" 0.27467 0.96666 "Breton" "nsubj" 0.10428 1.0377 "Breton" FALSE TRUE "SOV" "Celtic"
"132" "Breton_2.6" 8875828 "obj" 5.33187 2.31076 "Breton" "nsubj" 5.10361 0.39053 "Breton" TRUE TRUE "VSO" "Celtic"
"133" "Breton_2.6" 8944438 "obj" 4.88082 3.06181 "Breton" "nsubj" 5.53213 1.18849 "Breton" TRUE TRUE "VSO" "Celtic"
"134" "Breton_2.6" 9537320 "obj" -5.15353 1.89132 "Breton" "nsubj" -5.0807 0.52864 "Breton" TRUE TRUE "VSO" "Celtic"
"135" "Breton_2.6" 9957451 "obj" -0.46141 0.76908 "Breton" "nsubj" 0.18367 0.8611 "Breton" FALSE FALSE "SVO" "Celtic"
"136" "Bulgarian_2.6" 139164 "obj" 5.69439 2.27017 "Bulgarian" "nsubj" 4.35316 -1.12874 "Bulgarian" TRUE TRUE "VSO" "Slavic"
"137" "Bulgarian_2.6" 1995431 "obj" 4.91665 0.85064 "Bulgarian" "nsubj" -4.81193 0.73876 "Bulgarian" TRUE FALSE "SVO" "Slavic"
"138" "Bulgarian_2.6" 2244756 "obj" -0.73443 1.02328 "Bulgarian" "nsubj" 0.30323 -0.2863 "Bulgarian" TRUE FALSE "SVO" "Slavic"
"139" "Bulgarian_2.6" 254145 "obj" -0.62198 0.87986 "Bulgarian" "nsubj" -0.50276 -0.23808 "Bulgarian" TRUE TRUE "VSO" "Slavic"
"140" "Bulgarian_2.6" 2802667 "obj" -5.6185 0.05585 "Bulgarian" "nsubj" 4.77755 1.37213 "Bulgarian" FALSE FALSE "SVO" "Slavic"
"141" "Bulgarian_2.6" 3203072 "obj" 0.01755 0.90897 "Bulgarian" "nsubj" 0.19117 -0.32477 "Bulgarian" TRUE TRUE "VSO" "Slavic"
"142" "Bulgarian_2.6" 3583393 "obj" -0.27382 0.98194 "Bulgarian" "nsubj" 0.77751 -0.25723 "Bulgarian" TRUE FALSE "SVO" "Slavic"
"143" "Bulgarian_2.6" 4890524 "obj" 4.71233 1.15819 "Bulgarian" "nsubj" -5.08905 1.07621 "Bulgarian" TRUE FALSE "SVO" "Slavic"
"144" "Bulgarian_2.6" 4937975 "obj" -4.7406 2.77497 "Bulgarian" "nsubj" -3.79978 -0.76933 "Bulgarian" TRUE TRUE "VSO" "Slavic"
"145" "Bulgarian_2.6" 6186921 "obj" 5.32957 2.65315 "Bulgarian" "nsubj" 4.82604 -0.67919 "Bulgarian" TRUE TRUE "VSO" "Slavic"
"146" "Bulgarian_2.6" 6386441 "obj" -0.02703 0.84771 "Bulgarian" "nsubj" -0.43577 -0.4566 "Bulgarian" TRUE TRUE "VSO" "Slavic"
"147" "Bulgarian_2.6" 7515270 "obj" -5.33348 0.19698 "Bulgarian" "nsubj" 4.84138 0.56611 "Bulgarian" FALSE FALSE "SVO" "Slavic"
"148" "Bulgarian_2.6" 756505 "obj" -5.32226 1.44546 "Bulgarian" "nsubj" 4.53391 0.93764 "Bulgarian" TRUE FALSE "SVO" "Slavic"
"149" "Bulgarian_2.6" 916000 "obj" 5.09316 0.24447 "Bulgarian" "nsubj" -3.9818 -0.16231 "Bulgarian" TRUE FALSE "SVO" "Slavic"
"150" "Bulgarian_2.6" 9392625 "obj" -4.8258 1.70428 "Bulgarian" "nsubj" 3.94953 -0.07512 "Bulgarian" TRUE FALSE "SVO" "Slavic"
"151" "Buryat_2.6" 1320613 "obj" -4.63887 0.23295 "Buryat" "nsubj" 4.96384 2.48307 "Buryat" FALSE FALSE "SVO" "Mongolic"
"152" "Buryat_2.6" 1441964 "obj" -0.20676 0.63113 "Buryat" "nsubj" -0.2662 1.09289 "Buryat" FALSE TRUE "SOV" "Mongolic"
"153" "Buryat_2.6" 1917996 "obj" 0.05668 0.28686 "Buryat" "nsubj" 0.61267 1.22058 "Buryat" FALSE TRUE "SOV" "Mongolic"
"154" "Buryat_2.6" 2079220 "obj" -4.98398 0.72756 "Buryat" "nsubj" 5.46807 2.35539 "Buryat" FALSE FALSE "SVO" "Mongolic"
"155" "Buryat_2.6" 2595916 "obj" -4.8733 0.97958 "Buryat" "nsubj" 4.99278 3.10074 "Buryat" FALSE FALSE "SVO" "Mongolic"
"156" "Buryat_2.6" 4398868 "obj" 5.48445 1.12866 "Buryat" "nsubj" -3.90979 1.51245 "Buryat" FALSE FALSE "SVO" "Mongolic"
"157" "Buryat_2.6" 5215449 "obj" -5.19324 0.86856 "Buryat" "nsubj" -5.71087 3.14582 "Buryat" FALSE TRUE "SOV" "Mongolic"
"158" "Buryat_2.6" 6038334 "obj" -4.10933 0.10473 "Buryat" "nsubj" 5.49031 1.66335 "Buryat" FALSE FALSE "SVO" "Mongolic"
"159" "Buryat_2.6" 6068340 "obj" -5.23107 -0.4474 "Buryat" "nsubj" -4.44861 4.88935 "Buryat" FALSE TRUE "SOV" "Mongolic"
"160" "Buryat_2.6" 6694776 "obj" -5.4534 -0.70174 "Buryat" "nsubj" 4.77928 3.20724 "Buryat" FALSE FALSE "SVO" "Mongolic"
"161" "Buryat_2.6" 7156398 "obj" 3.20625 0.50934 "Buryat" "nsubj" 4.7318 3.16584 "Buryat" FALSE TRUE "SOV" "Mongolic"
"162" "Buryat_2.6" 7615436 "obj" -5.49428 0.24696 "Buryat" "nsubj" 4.44329 2.15109 "Buryat" FALSE FALSE "SVO" "Mongolic"
"163" "Buryat_2.6" 8645483 "obj" 5.114 0.26125 "Buryat" "nsubj" 3.93437 3.76965 "Buryat" FALSE TRUE "SOV" "Mongolic"
