"Language" "Family" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "OSSameSide_Real" "OSSameSide_Real_Prob"
"35" "Indonesian_2.6" "Malayo-Sumbawan" 2 15 0.133333333333333 1 FALSE 0.0821981035588028
"36" "Irish_2.6" "Celtic" 12 15 0.8 0.6 TRUE 0.57739213258682
"37" "Italian_2.6" "Latin_Romance" 4 15 0.266666666666667 0.733333333333333 FALSE 0.258976365908599
"38" "Japanese_2.6" "Japanese" 15 16 0.9375 0.4375 TRUE 0.999464341990614
"39" "Kazakh_2.6" "Turkic" 10 15 0.666666666666667 0 TRUE 0.788447365573042
"40" "Korean_2.6" "Korean" 14 15 0.933333333333333 0.6 TRUE 0.987195348569592
"41" "Kurmanji_2.6" "Iranian" 13 15 0.866666666666667 0.8 TRUE 0.938183810521532
"42" "Latin_2.6" "Latin_Romance" 7 16 0.4375 0.6875 TRUE 0.537399860542946
"43" "Latvian_2.6" "Baltic" 8 15 0.533333333333333 1 FALSE 0.411664412483313
"44" "Lithuanian_2.6" "Baltic" 6 15 0.4 0.866666666666667 FALSE 0.412431362796748
"45" "Maltese_2.6" "Semitic" 6 15 0.4 0.733333333333333 FALSE 0.303941652048626
"46" "Mbya_Guarani_2.6" "Tupian" 8 15 0.533333333333333 1 TRUE 0.529045619798164
"47" "Naija_2.6" "Creole_Naija" 5 15 0.333333333333333 0.6 FALSE 0.0208720700728321
"48" "North_Sami_2.6" "Sami" 9 15 0.6 0.933333333333333 FALSE 0.376414462590049
"49" "Norwegian_2.6" "Germanic" 3 15 0.2 0.933333333333333 FALSE 0.234015773219976
"50" "Old_Church_Slavonic_2.6" "Slavic" 11 15 0.733333333333333 0.266666666666667 FALSE 0.451525153690612
"51" "Old_French_2.6" "Latin_Romance" 11 15 0.733333333333333 0.933333333333333 TRUE 0.562505175101528
"52" "Old_Russian_2.6" "Slavic" 12 15 0.8 1 FALSE 0.478022767210536
"53" "Persian_2.6" "Iranian" 8 15 0.533333333333333 0.933333333333333 TRUE 0.967046567243542
"54" "Polish_2.6" "Slavic" 9 15 0.6 0.733333333333333 FALSE 0.370014661154123
"55" "Portuguese_2.6" "Latin_Romance" 3 15 0.2 0.8 FALSE 0.167575162411551
"56" "Romanian_2.6" "Latin_Romance" 6 15 0.4 0.866666666666667 FALSE 0.306765062605855
"57" "Russian_2.6" "Slavic" 7 15 0.466666666666667 0.8 FALSE 0.355193867478513
"58" "Sanskrit_2.6" "Indic" 9 15 0.6 0.733333333333333 TRUE 0.680408185778183
"59" "Scottish_Gaelic_2.6" "Celtic" 5 15 0.333333333333333 0.8 TRUE 0.651156068765874
"60" "Serbian_2.6" "Slavic" 10 15 0.666666666666667 0.8 FALSE 0.291902472568086
"61" "Slovak_2.6" "Slavic" 9 15 0.6 0.866666666666667 FALSE 0.39478000162748
"62" "Slovenian_2.6" "Slavic" 7 15 0.466666666666667 0.8 FALSE 0.454458013615332
"63" "Spanish_2.6" "Latin_Romance" 3 15 0.2 1 FALSE 0.294788235507695
"64" "Swedish_2.6" "Germanic" 6 15 0.4 0.733333333333333 FALSE 0.202763392785575
"65" "Thai_2.6" "Tai-Kadai" 2 15 0.133333333333333 0.2 FALSE 0.0846105812535957
"66" "Turkish_2.6" "Turkic" 7 15 0.466666666666667 0.866666666666667 TRUE 0.951822999933911
"67" "Ukrainian_2.6" "Slavic" 8 15 0.533333333333333 0.8 FALSE 0.355981615512675
"68" "Upper_Sorbian_2.6" "Slavic" 10 15 0.666666666666667 1 FALSE 0.431302222068695
"69" "Urdu_2.6" "Indic" 8 15 0.533333333333333 0.8 TRUE 0.739461161119612
"70" "Uyghur_2.6" "Turkic" 7 15 0.466666666666667 0.333333333333333 TRUE 0.942796484883506
"71" "Vietnamese_2.6" "Viet-Muong" 4 15 0.266666666666667 0.933333333333333 FALSE 0.0923860484751526
"72" "Welsh_2.6" "Celtic" 6 15 0.4 0.666666666666667 TRUE 0.601391360163714
"73" "Wolof_2.6" "Northern_Atlantic" 8 15 0.533333333333333 0.866666666666667 FALSE 0.321382180899331
