"Language" "FileName" "ModelName" "AverageLoss.x" "Counter.x" "DH_Mean_NoPunct.x" "DH_Sigma_NoPunct.x" "Dependency.x" "Distance_Mean_NoPunct.x" "Distance_Sigma_NoPunct.x" "Language_.x" "AverageLoss.y" "Counter.y" "DH_Mean_NoPunct.y" "DH_Sigma_NoPunct.y" "Dependency.y" "Distance_Mean_NoPunct.y" "Distance_Sigma_NoPunct.y" "Language_.y" "OFartherThanS_Real" "OSSameSide_Real" "OSSameSide_Real_Prob" "Order_Real"
"34" "Icelandic_2.6" 200603 "inferRealGrammars.py" 10 1990000 -3.6956255 0.24671915 "obj" 0.040691413 0.08469255 "Icelandic" 10 1990000 1.6562077 0.06359785 "nsubj" 0.05068761 0.0931069 "Icelandic" FALSE FALSE 0.17673511590132 "SVO"
"35" "Indonesian_2.6" 7955391 "inferRealGrammars.py" 10 1990000 -3.6250772 0.14328445 "obj" -1.7097825 0.17613758 "Indonesian" 10 1990000 2.7636178 0.08538314 "nsubj" -0.17991132 0.054706004 "Indonesian" FALSE FALSE 0.0821981035588028 "SVO"
"36" "Irish_2.6" 338335 "inferRealGrammars.py" 10 1990000 -0.46404666 0.09878769 "obj" -0.78435314 0.11470039 "Irish" 10 1990000 -1.6546421 0.14186956 "nsubj" -2.5601492 0.14046152 "Irish" TRUE TRUE 0.57739213258682 "VSO"
"37" "Italian_2.6" 8520044 "inferRealGrammars.py" 10 1990000 -2.0696464 0.020518405 "obj" 0.32159775 -0.040857222 "Italian" 10 1990000 1.4543259 -0.04554426 "nsubj" 1.0353458 -0.02826538 "Italian" FALSE FALSE 0.258976365908599 "SVO"
"38" "Japanese_2.6" 9385724 "inferRealGrammars.py" 10 1990000 8.045081 0.27611238 "obj" -0.09913702 0.03976612 "Japanese" 10 1990000 8.443619 0.30119956 "nsubj" 1.5993993 -0.027508628 "Japanese" FALSE TRUE 0.999464341990614 "SOV"
"39" "Kazakh_2.6" 4387833 "inferRealGrammars.py" 10 1990000 1.9812958 0.6234493 "obj" -0.41889766 0.5425335 "Kazakh" 10 1990000 1.9992567 0.3972668 "nsubj" 0.81485176 0.29002586 "Kazakh" FALSE TRUE 0.788447365573042 "SOV"
"40" "Korean_2.6" 5092027 "inferRealGrammars.py" 10 1990000 4.939906 0.13904068 "obj" -0.4164726 0.03853177 "Korean" 10 1990000 5.1471415 0.20231172 "nsubj" 1.0673151 0.021681009 "Korean" FALSE TRUE 0.987195348569592 "SOV"
"41" "Kurmanji_2.6" 1394140 "inferRealGrammars.py" 10 1990000 2.8865592 0.23375435 "obj" -1.1998426 0.09938255 "Kurmanji" 10 1990000 4.589418 0.3098631 "nsubj" 0.42280728 0.058559258 "Kurmanji" FALSE TRUE 0.938183810521532 "SOV"
"42" "Latin_2.6" 574510 "inferRealGrammars.py" 10 1990000 0.25893906 0.048664425 "obj" -0.5142752 -0.023320686 "Latin" 10 1990000 1.3278346 -0.0028064875 "nsubj" 0.3034899 0.032555714 "Latin" FALSE TRUE 0.537399860542946 "SOV"
"43" "Latvian_2.6" 555400 "inferRealGrammars.py" 10 1990000 -0.6950812 0.07319741 "obj" -0.4909036 0.11404484 "Latvian" 10 1990000 1.1765414 0.054725774 "nsubj" 0.2879169 0.032678932 "Latvian" FALSE FALSE 0.411664412483313 "SVO"
"44" "Lithuanian_2.6" 3619530 "inferRealGrammars.py" 10 1990000 -0.732596 0.084522046 "obj" -0.6881118 0.12142843 "Lithuanian" 10 1990000 1.0968081 0.10284737 "nsubj" 0.4135393 0.10615369 "Lithuanian" FALSE FALSE 0.412431362796748 "SVO"
"45" "Maltese_2.6" 7454297 "inferRealGrammars.py" 10 1990000 -3.044092 0.2846803 "obj" -0.77790403 0.18894194 "Maltese" 10 1990000 0.9230986 0.0971687 "nsubj" -0.0351095 0.12114616 "Maltese" FALSE FALSE 0.303941652048626 "SVO"
"46" "Mbya_Guarani_2.6" 2719769 "inferRealGrammars.py" 10 1990000 0.15838851 0.12049521 "obj" -0.49316508 0.13451858 "Mbya_Guarani" 10 1990000 1.8792996 0.122475624 "nsubj" -0.44880494 0.063736685 "Mbya_Guarani" FALSE TRUE 0.529045619798164 "SOV"
"47" "Naija_2.6" 1224743 "inferRealGrammars.py" 10 1990000 -4.479156 0.27229238 "obj" -4.0130916 0.3301676 "Naija" 10 1990000 4.60753 0.32511434 "nsubj" -0.011651157 0.07764908 "Naija" FALSE FALSE 0.0208720700728321 "SVO"
"48" "North_Sami_2.6" 7955698 "inferRealGrammars.py" 10 1990000 -1.1451242 0.11721001 "obj" -1.2797561 0.15152596 "North_Sami" 10 1990000 1.0404323 0.062032647 "nsubj" -0.9692944 0.07835778 "North_Sami" FALSE FALSE 0.376414462590049 "SVO"
"49" "Norwegian_2.6" 2735782 "inferRealGrammars.py" 10 1990000 -2.4788868 -0.094291165 "obj" 0.11274195 0.033506043 "Norwegian" 10 1990000 1.4806035 -0.02640779 "nsubj" 0.17803462 -0.015888637 "Norwegian" FALSE FALSE 0.234015773219976 "SVO"
"50" "Old_Church_Slavonic_2.6" 5567759 "inferRealGrammars.py" 10 1990000 -0.6881289 0.03265434 "obj" -0.7675281 0.055558793 "Old_Church_Slavonic" 10 1990000 0.60327387 0.05903417 "nsubj" -0.009660153 0.030004164 "Old_Church_Slavonic" FALSE FALSE 0.451525153690612 "SVO"
"51" "Old_French_2.6" 4511362 "inferRealGrammars.py" 10 1990000 0.41860074 -0.0032722033 "obj" -0.5391725 -0.011746132 "Old_French" 10 1990000 1.4050671 0.045974296 "nsubj" 0.42716742 0.019340716 "Old_French" FALSE TRUE 0.562505175101528 "SOV"
"52" "Old_Russian_2.6" 7096765 "inferRealGrammars.py" 10 1990000 -0.54710835 -0.037392776 "obj" -0.84898704 0.0059535084 "Old_Russian" 10 1990000 0.3323607 -0.022681864 "nsubj" -0.19300531 -0.022553716 "Old_Russian" FALSE FALSE 0.478022767210536 "SVO"
"53" "Persian_2.6" 6678602 "inferRealGrammars.py" 10 1990000 3.7347398 0.32397124 "obj" -0.78386796 0.12716277 "Persian" 10 1990000 4.5848494 0.32005718 "nsubj" 0.7798903 0.05736314 "Persian" FALSE TRUE 0.967046567243542 "SOV"
"54" "Polish_2.6" 7550162 "inferRealGrammars.py" 10 1990000 -1.4364473 0.016366381 "obj" -0.19129232 -0.006619191 "Polish" 10 1990000 0.9006401 0.013073024 "nsubj" 0.56430477 0.0361406 "Polish" FALSE FALSE 0.370014661154123 "SVO"
"55" "Portuguese_2.6" 1077217 "inferRealGrammars.py" 10 1990000 -2.2946439 0.040457573 "obj" -0.755792 0.058180217 "Portuguese" 10 1990000 2.2769742 0.029120853 "nsubj" 0.16339886 0.015277388 "Portuguese" FALSE FALSE 0.167575162411551 "SVO"
"56" "Romanian_2.6" 6471029 "inferRealGrammars.py" 10 1990000 -1.5504886 -0.023842212 "obj" -0.49940118 -0.09623218 "Romanian" 10 1990000 1.3694971 -0.0116062295 "nsubj" 0.21207246 0.027616149 "Romanian" FALSE FALSE 0.306765062605855 "SVO"
"57" "Russian_2.6" 8941663 "inferRealGrammars.py" 10 1690000 -1.369746 -0.013810644 "obj" -0.23979025 -0.006792762 "Russian" 10 1690000 1.0642576 -0.0174229 "nsubj" 0.36810857 0.005143556 "Russian" FALSE FALSE 0.355193867478513 "SVO"
"58" "Sanskrit_2.6" 4923543 "inferRealGrammars.py" 10 1990000 1.5638958 0.09343471 "obj" -0.7302617 0.04687364 "Sanskrit" 10 1990000 1.2420925 0.027569791 "nsubj" 0.14208826 0.056268893 "Sanskrit" FALSE TRUE 0.680408185778183 "SOV"
"59" "Scottish_Gaelic_2.6" 6806185 "inferRealGrammars.py" 10 1990000 -0.6675335 0.11833561 "obj" -0.43900257 0.13157772 "Scottish_Gaelic" 10 1990000 -3.461516 0.19537358 "nsubj" -2.9557235 0.15213948 "Scottish_Gaelic" TRUE TRUE 0.651156068765874 "VSO"
"60" "Serbian_2.6" 7138052 "inferRealGrammars.py" 10 1990000 -1.8817698 0.062133502 "obj" -0.5592662 0.059919193 "Serbian" 10 1990000 1.2825526 0.031259425 "nsubj" 0.0073861647 0.03244633 "Serbian" FALSE FALSE 0.291902472568086 "SVO"
"61" "Slovak_2.6" 5897048 "inferRealGrammars.py" 10 1990000 -1.0892094 0.09052427 "obj" -0.205315 0.099230886 "Slovak" 10 1990000 0.90481573 0.047864348 "nsubj" 0.5026196 0.09327769 "Slovak" FALSE FALSE 0.39478000162748 "SVO"
"62" "Slovenian_2.6" 9357200 "inferRealGrammars.py" 10 1910000 -0.4102828 0.01592468 "obj" -0.34307718 0.008260831 "Slovenian" 10 1910000 0.96994424 0.01842968 "nsubj" -0.0009566004 -0.055046823 "Slovenian" FALSE FALSE 0.454458013615332 "SVO"
"63" "Spanish_2.6" 9627399 "inferRealGrammars.py" 10 1990000 -1.4049177 0.029297333 "obj" -0.816373 0.06724667 "Spanish" 10 1990000 1.6483988 0.04587501 "nsubj" 0.36783323 0.04213703 "Spanish" FALSE FALSE 0.294788235507695 "SVO"
"64" "Swedish_2.6" 7780633 "inferRealGrammars.py" 10 1990000 -3.0095625 0.10091651 "obj" -0.30078113 0.037808266 "Swedish" 10 1990000 1.5720288 0.036561966 "nsubj" -0.06670801 0.022953369 "Swedish" FALSE FALSE 0.202763392785575 "SVO"
"65" "Thai_2.6" 2864844 "inferRealGrammars.py" 10 1990000 -2.4217288 0.07669208 "obj" -3.0384707 0.099217944 "Thai" 10 1990000 5.601174 0.3755895 "nsubj" -0.013822038 0.09922341 "Thai" FALSE FALSE 0.0846105812535957 "SVO"
"66" "Turkish_2.6" 3145858 "inferRealGrammars.py" 10 1990000 3.9251235 0.14118852 "obj" -0.8161766 0.063834086 "Turkish" 10 1990000 3.4767828 0.1001395 "nsubj" 0.81987244 0.04616499 "Turkish" FALSE TRUE 0.951822999933911 "SOV"
"67" "Ukrainian_2.6" 4108273 "inferRealGrammars.py" 10 1990000 -1.300448 0.12236348 "obj" -0.4416087 0.090318024 "Ukrainian" 10 1990000 1.1085534 0.091853395 "nsubj" 0.009241832 0.06773412 "Ukrainian" FALSE FALSE 0.355981615512675 "SVO"
"68" "Upper_Sorbian_2.6" 4456913 "inferRealGrammars.py" 10 1990000 -0.4893303 0.105406635 "obj" -0.00608501 0.14314483 "Upper_Sorbian" 10 1990000 1.3031418 0.10192509 "nsubj" 0.41129044 0.071864404 "Upper_Sorbian" FALSE FALSE 0.431302222068695 "SVO"
"69" "Urdu_2.6" 4560771 "inferRealGrammars.py" 10 1990000 1.0631889 0.02063958 "obj" -0.11485761 0.038273975 "Urdu" 10 1990000 4.8344874 0.19045058 "nsubj" 1.4121119 0.022940936 "Urdu" FALSE TRUE 0.739461161119612 "SOV"
"70" "Uyghur_2.6" 6121215 "inferRealGrammars.py" 10 1990000 4.5599523 0.41013587 "obj" -1.057966 0.07838487 "Uyghur" 10 1990000 2.9908714 0.18342614 "nsubj" 0.6500477 0.07593131 "Uyghur" FALSE TRUE 0.942796484883506 "SOV"
"71" "Vietnamese_2.6" 5944073 "inferRealGrammars.py" 10 1990000 -2.8133836 0.09675626 "obj" -0.42057198 0.080862775 "Vietnamese" 10 1990000 3.1690102 0.17894542 "nsubj" -0.30827117 0.13173167 "Vietnamese" FALSE FALSE 0.0923860484751526 "SVO"
"72" "Welsh_2.6" 9981560 "inferRealGrammars.py" 10 1990000 -1.1942751 0.10140539 "obj" -1.3746566 0.15568803 "Welsh" 10 1990000 -0.7978443 0.05140025 "nsubj" -0.816788 0.083000265 "Welsh" FALSE TRUE 0.601391360163714 "SOV"
"73" "Wolof_2.6" 2494071 "inferRealGrammars.py" 10 1990000 -0.75733525 0.08219286 "obj" -0.5104042 0.07860242 "Wolof" 10 1990000 5.115656 0.3669422 "nsubj" -0.75392175 0.07830768 "Wolof" TRUE FALSE 0.321382180899331 "SVO"
