"Language" "Family" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "OSSameSide_Real" "OSSameSide_Real_Prob"
"50" "Old_Russian_2.6" "Slavic" 11 13 0.846153846153846 1 FALSE 0.478022767210536
"51" "Persian_2.6" "Iranian" 5 10 0.5 0.9 TRUE 0.967046567243542
"52" "Polish_2.6" "Slavic" 7 12 0.583333333333333 0.75 FALSE 0.370014661154123
"53" "Portuguese_2.6" "Latin_Romance" 3 12 0.25 0.916666666666667 FALSE 0.167575162411551
"54" "Romanian_2.6" "Latin_Romance" 5 11 0.454545454545455 1 FALSE 0.306765062605855
"55" "Russian_2.6" "Slavic" 4 10 0.4 0.8 FALSE 0.355193867478513
"56" "Sanskrit_2.6" "Indic" 7 13 0.538461538461538 0.692307692307692 TRUE 0.680408185778183
"57" "Scottish_Gaelic_2.6" "Celtic" 5 12 0.416666666666667 0.833333333333333 TRUE 0.651156068765874
"58" "Serbian_2.6" "Slavic" 6 11 0.545454545454545 0.727272727272727 FALSE 0.291902472568086
"59" "Slovak_2.6" "Slavic" 7 13 0.538461538461538 0.846153846153846 FALSE 0.39478000162748
"60" "Slovenian_2.6" "Slavic" 6 13 0.461538461538462 0.769230769230769 FALSE 0.454458013615332
"61" "Spanish_2.6" "Latin_Romance" 3 11 0.272727272727273 1 FALSE 0.294788235507695
"62" "Swedish_2.6" "Germanic" 4 10 0.4 0.8 FALSE 0.202763392785575
"63" "Thai_2.6" "Tai-Kadai" 2 12 0.166666666666667 0.166666666666667 FALSE 0.0846105812535957
"64" "Turkish_2.6" "Turkic" 5 12 0.416666666666667 0.833333333333333 TRUE 0.951822999933911
"65" "Ukrainian_2.6" "Slavic" 5 11 0.454545454545455 0.818181818181818 FALSE 0.355981615512675
"66" "Urdu_2.6" "Indic" 5 10 0.5 0.7 TRUE 0.739461161119612
"67" "Uyghur_2.6" "Turkic" 5 12 0.416666666666667 0.333333333333333 TRUE 0.942796484883506
"68" "Vietnamese_2.6" "Viet-Muong" 3 12 0.25 0.916666666666667 FALSE 0.0923860484751526
"69" "Welsh_2.6" "Celtic" 6 11 0.545454545454545 0.636363636363636 TRUE 0.601391360163714
"70" "Wolof_2.6" "Northern_Atlantic" 7 12 0.583333333333333 0.833333333333333 FALSE 0.321382180899331
"71" "Yoruba_2.6" "Defoid" 4 12 0.333333333333333 0.833333333333333 FALSE 0.100818308412234
