CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	FileName	HeadPOS	Language	Language_
nsubj	-2.53957	NOUN	0.23107	4636280	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-2.70321	NOUN	1.47213	4636280	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-2.10688	NOUN	0.64918	7508414	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-0.44704	NOUN	1.59481	7508414	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	1.38635	NOUN	0.76845	8993587	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	3.75814	NOUN	1.1161	8993587	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.04553	NOUN	0.35933	459077	VERB	French-Spoken_2.6	French-Spoken
obj	0.44308	NOUN	1.66681	459077	VERB	French-Spoken_2.6	French-Spoken
nsubj	-0.13924	NOUN	0.18208	7604893	VERB	French-Spoken_2.6	French-Spoken
obj	0.49143	NOUN	1.76225	7604893	VERB	French-Spoken_2.6	French-Spoken
nsubj	-1.13917	NOUN	-0.40374	7738094	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	2.1613	NOUN	1.8161	7738094	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-0.08556	NOUN	0.29607	9946693	VERB	French-Spoken_2.6	French-Spoken
obj	-0.2636	NOUN	1.5537	9946693	VERB	French-Spoken_2.6	French-Spoken
nsubj	1.92094	NOUN	1.51809	822548	VERB	French-Spoken_2.6	French-Spoken
obj	-4.72064	NOUN	2.90466	822548	VERB	French-Spoken_2.6	French-Spoken
nsubj	2.34646	NOUN	1.28145	8925867	VERB	French-Spoken_2.6	French-Spoken
obj	-4.16067	NOUN	2.79239	8925867	VERB	French-Spoken_2.6	French-Spoken
nsubj	-0.35769	NOUN	1.37908	3847488	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-3.16325	NOUN	1.43506	3847488	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.07332	NOUN	0.42156	800140	VERB	French-Spoken_2.6	French-Spoken
obj	4.82223	NOUN	2.892	800140	VERB	French-Spoken_2.6	French-Spoken
nsubj	-1.41789	NOUN	-0.22102	6599928	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	3.40708	NOUN	1.21344	6599928	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-1.88428	NOUN	2.27208	1321822	VERB	French-Spoken_2.6	French-Spoken
obj	-5.0788	NOUN	2.3612	1321822	VERB	French-Spoken_2.6	French-Spoken
nsubj	2.33301	NOUN	0.99034	4118674	VERB	French-Spoken_2.6	French-Spoken
obj	-5.07047	NOUN	1.61743	4118674	VERB	French-Spoken_2.6	French-Spoken
nsubj	2.66447	NOUN	1.17852	9764749	VERB	French-Spoken_2.6	French-Spoken
obj	-4.63659	NOUN	2.58652	9764749	VERB	French-Spoken_2.6	French-Spoken
nsubj	-0.86485	NOUN	0.05614	6681873	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	3.36527	NOUN	2.31876	6681873	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	0.34507	NOUN	0.80774	3436599	VERB	French-Spoken_2.6	French-Spoken
obj	-4.74577	NOUN	3.27085	3436599	VERB	French-Spoken_2.6	French-Spoken
nsubj	-0.20723	NOUN	1.66096	1103470	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	1.18834	NOUN	1.14852	1103470	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.60256	NOUN	0.14762	7440880	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-3.63769	NOUN	1.8506	7440880	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-1.72466	NOUN	1.43877	8301031	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	0.79811	NOUN	1.14875	8301031	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.0815	NOUN	0.13527	2318829	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-0.31983	NOUN	0.80432	2318829	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-1.9915	NOUN	1.23427	326096	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-2.83488	NOUN	1.60472	326096	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.12435	NOUN	0.19652	5825192	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	0.16976	NOUN	0.59411	5825192	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	2.19068	NOUN	0.1938	6729506	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-1.61877	NOUN	1.13444	6729506	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	1.78952	NOUN	0.35468	9908813	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	2.51643	NOUN	1.67368	9908813	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	-2.39202	NOUN	0.34203	5241457	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-1.88892	NOUN	1.17645	5241457	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	-2.10955	NOUN	1.11269	9240090	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-1.94984	NOUN	1.66819	9240090	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	-2.32949	NOUN	0.93965	3452058	VERB	French-Spoken_2.6	French-Spoken
obj	4.0894	NOUN	2.43752	3452058	VERB	French-Spoken_2.6	French-Spoken
nsubj	0.76977	NOUN	0.96067	5796379	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-2.05177	NOUN	1.53644	5796379	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	-0.27346	NOUN	0.32509	6164132	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	0.0784	NOUN	0.63162	6164132	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.06364	NOUN	0.14125	6186060	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	0.11878	NOUN	0.93236	6186060	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	-0.00485	NOUN	0.07414	6312710	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-0.14962	NOUN	1.1184	6312710	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-0.04285	NOUN	0.27659	6794580	VERB	French-Spoken_2.6	French-Spoken
obj	0.34026	NOUN	1.74004	6794580	VERB	French-Spoken_2.6	French-Spoken
nsubj	1.34634	NOUN	0.99989	3968333	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-3.30648	NOUN	1.72059	3968333	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-0.00485	NOUN	0.4317	8762147	VERB	French-Spoken_2.6	French-Spoken
obj	0.29412	NOUN	1.60029	8762147	VERB	French-Spoken_2.6	French-Spoken
nsubj	0.5784	NOUN	1.37383	6786657	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	1.25862	NOUN	1.36119	6786657	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	-0.0768	NOUN	-0.04373	9818996	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-0.07803	NOUN	0.86272	9818996	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	1.29021	NOUN	0.24616	2272902	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	-3.51054	NOUN	1.39709	2272902	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-0.02909	NOUN	0.21196	2075093	VERB	French-Spoken_2.6	French-Spoken
obj	0.01012	NOUN	1.67842	2075093	VERB	French-Spoken_2.6	French-Spoken
nsubj	-2.83589	NOUN	1.06299	6475415	VERB	French-Spoken_2.6	French-Spoken
obj	4.2142	NOUN	2.46697	6475415	VERB	French-Spoken_2.6	French-Spoken
nsubj	0.00428	NOUN	0.02362	8070330	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	0.16323	NOUN	0.94386	8070330	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-0.86894	NOUN	1.26115	7178424	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	2.50122	NOUN	0.87486	7178424	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.06635	NOUN	0.32918	6597170	VERB	Slovenian-SST_2.6	Slovenian-SST
obj	-0.17049	NOUN	0.85824	6597170	VERB	Slovenian-SST_2.6	Slovenian-SST
nsubj	0.02108	NOUN	0.22639	4281895	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
obj	3.37254	NOUN	2.15053	4281895	VERB	Norwegian-NynorskLIA_2.6	Norwegian-NynorskLIA
nsubj	-2.43362	NOUN	0.83766	5975749	VERB	French-Spoken_2.6	French-Spoken
obj	3.57581	NOUN	2.76848	5975749	VERB	French-Spoken_2.6	French-Spoken
